ObjectType,ObjectOrientation,X,Y
1,2,3,10
1,2,3,11
1,2,3,12
1,2,3,13
1,2,3,14
1,2,4,1
1,2,4,2
1,2,4,3
1,2,4,4
1,2,4,5
1,2,4,6
1,2,4,7
1,2,4,8
1,2,4,9
1,2,4,10
1,2,4,11
1,2,4,12
1,2,4,13
1,2,4,14
1,2,5,1
1,2,5,2
1,2,5,3
1,2,5,4
1,2,5,5
1,2,5,6
1,2,5,7
1,2,5,8
1,2,5,9
1,2,5,10
1,2,5,11
1,2,5,12
1,2,5,13
1,2,5,14
1,2,6,1
1,2,6,2
1,2,6,3
1,2,6,4
1,2,6,5
1,2,6,6
1,2,6,7
1,2,6,8
1,2,6,9
1,2,6,10
1,2,6,11
1,2,6,12
1,2,6,13
1,2,6,14
1,2,7,1
1,2,7,2
1,2,7,3
1,2,7,4
1,2,7,5
1,2,7,6
1,2,7,7
1,2,7,8
1,2,7,9
1,2,7,10
1,2,7,11
1,2,7,12
1,2,7,13
1,2,7,14
1,2,8,1
1,2,8,2
1,2,8,3
1,2,8,4
1,2,8,5
1,2,8,6
1,2,8,7
1,2,8,8
1,2,8,9
1,2,8,10
1,2,8,11
1,2,9,1
1,2,9,2
1,2,9,3
1,2,9,4
1,2,9,5
1,2,9,6
1,2,9,7
1,2,9,8
1,2,9,9
1,2,9,10
1,2,9,11
1,2,10,1
1,2,10,2
1,2,10,3
1,2,10,4
1,2,10,5
1,2,10,6
1,2,10,7
1,2,10,8
1,2,10,9
1,2,10,10
1,2,10,11
1,3,1,1
1,3,1,2
1,3,1,3
1,3,1,4
1,3,1,5
1,3,1,6
1,3,1,7
1,3,2,1
1,3,2,2
1,3,2,3
1,3,2,4
1,3,2,5
1,3,2,6
1,3,2,7
1,3,3,1
1,3,3,2
1,3,3,3
1,3,3,4
1,3,3,5
1,3,3,6
1,3,3,7
1,3,4,1
1,3,4,2
1,3,4,3
1,3,4,4
1,3,4,5
1,3,4,6
1,3,4,7
1,3,4,8
1,3,4,9
1,3,4,10
1,3,5,1
1,3,5,2
1,3,5,3
1,3,5,4
1,3,5,5
1,3,5,6
1,3,5,7
1,3,5,8
1,3,5,9
1,3,5,10
1,3,6,1
1,3,6,2
1,3,6,3
1,3,6,4
1,3,6,5
1,3,6,6
1,3,6,7
1,3,6,8
1,3,6,9
1,3,6,10
1,3,7,1
1,3,7,2
1,3,7,3
1,3,7,4
1,3,7,5
1,3,7,6
1,3,7,7
1,3,7,8
1,3,7,9
1,3,7,10
1,3,8,1
1,3,8,2
1,3,8,3
1,3,8,4
1,3,8,5
1,3,8,6
1,3,8,7
1,3,8,8
1,3,8,9
1,3,8,10
1,3,9,1
1,3,9,2
1,3,9,3
1,3,9,4
1,3,9,5
1,3,9,6
1,3,9,7
1,3,9,8
1,3,9,9
1,3,9,10
1,3,10,1
1,3,10,2
1,3,10,3
1,3,10,4
1,3,10,5
1,3,10,6
1,3,10,7
1,3,10,8
1,3,10,9
1,3,10,10
1,3,11,1
1,3,11,2
1,3,11,3
1,3,11,4
1,3,11,5
1,3,11,6
1,3,11,7
1,3,11,8
1,3,11,9
1,3,11,10
1,3,12,4
1,3,12,5
1,3,12,6
1,3,12,7
1,3,12,8
1,3,12,9
1,3,12,10
1,3,13,4
1,3,13,5
1,3,13,6
1,3,13,7
1,3,13,8
1,3,13,9
1,3,13,10
1,3,14,4
1,3,14,5
1,3,14,6
1,3,14,7
1,3,14,8
1,3,14,9
1,3,14,10
1,4,1,4
1,4,1,5
1,4,1,6
1,4,1,7
1,4,1,8
1,4,1,9
1,4,1,10
1,4,1,11
1,4,1,12
1,4,1,13
1,4,1,14
1,4,2,4
1,4,2,5
1,4,2,6
1,4,2,7
1,4,2,8
1,4,2,9
1,4,2,10
1,4,2,11
1,4,2,12
1,4,2,13
1,4,2,14
1,4,3,4
1,4,3,5
1,4,3,6
1,4,3,7
1,4,3,8
1,4,3,9
1,4,3,10
1,4,3,11
1,4,3,12
1,4,3,13
1,4,3,14
1,4,4,1
1,4,4,2
1,4,4,3
1,4,4,4
1,4,4,5
1,4,4,6
1,4,4,7
1,4,4,8
1,4,4,9
1,4,4,10
1,4,4,11
1,4,4,12
1,4,4,13
1,4,4,14
1,4,5,1
1,4,5,2
1,4,5,3
1,4,5,4
1,4,5,5
1,4,5,6
1,4,5,7
1,4,5,8
1,4,5,9
1,4,5,10
1,4,5,11
1,4,5,12
1,4,5,13
1,4,5,14
1,4,6,1
1,4,6,2
1,4,6,3
1,4,6,4
1,4,6,5
1,4,6,6
1,4,6,7
1,4,6,8
1,4,6,9
1,4,6,10
1,4,6,11
1,4,6,12
1,4,6,13
1,4,6,14
1,4,7,1
1,4,7,2
1,4,7,3
1,4,7,4
1,4,7,5
1,4,7,6
1,4,7,7
1,4,7,8
1,4,7,9
1,4,7,10
1,4,7,11
1,4,7,12
1,4,7,13
1,4,7,14
1,4,8,1
1,4,8,2
1,4,8,3
1,4,8,4
1,4,8,5
1,4,8,6
1,4,8,7
1,4,8,8
1,4,8,9
1,4,8,10
1,4,8,11
1,4,9,1
1,4,9,2
1,4,9,3
1,4,9,4
1,4,9,5
1,4,9,6
1,4,9,7
1,4,9,8
1,4,9,9
1,4,9,10
1,4,9,11
1,4,10,1
1,4,10,2
1,4,10,3
1,4,10,4
1,4,10,5
1,4,10,6
1,4,10,7
1,4,10,8
1,4,10,9
1,4,10,10
1,4,10,11
2,1,1,1
2,1,2,1
2,1,3,1
2,1,4,1
2,1,5,1
2,1,6,1
2,1,7,1
2,1,8,1
2,1,9,1
2,1,10,1
2,1,11,1
2,1,12,1
2,1,1,2
2,1,2,2
2,1,3,2
2,1,4,2
2,1,5,2
2,1,6,2
2,1,7,2
2,1,8,2
2,1,9,2
2,1,10,2
2,1,11,2
2,1,12,2
2,1,1,3
2,1,2,3
2,1,3,3
2,1,4,3
2,1,5,3
2,1,6,3
2,1,7,3
2,1,8,3
2,1,9,3
2,1,10,3
2,1,11,3
2,1,12,3
2,1,1,4
2,1,2,4
2,1,3,4
2,1,4,4
2,1,5,4
2,1,6,4
2,1,7,4
2,1,8,4
2,1,9,4
2,1,10,4
2,1,11,4
2,1,12,4
2,1,1,5
2,1,2,5
2,1,3,5
2,1,4,5
2,1,5,5
2,1,6,5
2,1,7,5
2,1,8,5
2,1,9,5
2,1,10,5
2,1,11,5
2,1,12,5
2,1,6,6
2,1,7,6
2,1,8,6
2,1,9,6
2,1,10,6
2,1,11,6
2,1,12,6
2,1,7,7
2,1,8,7
2,1,9,7
2,1,10,7
2,1,11,7
2,1,12,7
2,1,8,8
2,1,9,8
2,1,10,8
2,1,11,8
2,1,12,8
2,1,8,9
2,1,9,9
2,1,10,9
2,1,11,9
2,1,12,9
2,1,8,10
2,1,9,10
2,1,10,10
2,1,11,10
2,1,12,10
2,2,1,8
2,2,1,9
2,2,1,10
2,2,1,11
2,2,1,12
2,2,2,8
2,2,2,9
2,2,2,10
2,2,2,11
2,2,2,12
2,2,3,8
2,2,3,9
2,2,3,10
2,2,3,11
2,2,3,12
2,2,4,7
2,2,4,8
2,2,4,9
2,2,4,10
2,2,4,11
2,2,4,12
2,2,5,6
2,2,5,7
2,2,5,8
2,2,5,9
2,2,5,10
2,2,5,11
2,2,5,12
2,2,6,1
2,2,6,2
2,2,6,3
2,2,6,4
2,2,6,5
2,2,6,6
2,2,6,7
2,2,6,8
2,2,6,9
2,2,6,10
2,2,6,11
2,2,6,12
2,2,7,1
2,2,7,2
2,2,7,3
2,2,7,4
2,2,7,5
2,2,7,6
2,2,7,7
2,2,7,8
2,2,7,9
2,2,7,10
2,2,7,11
2,2,7,12
2,2,8,1
2,2,8,2
2,2,8,3
2,2,8,4
2,2,8,5
2,2,8,6
2,2,8,7
2,2,8,8
2,2,8,9
2,2,8,10
2,2,8,11
2,2,8,12
2,2,9,1
2,2,9,2
2,2,9,3
2,2,9,4
2,2,9,5
2,2,9,6
2,2,9,7
2,2,9,8
2,2,9,9
2,2,9,10
2,2,9,11
2,2,9,12
2,2,10,1
2,2,10,2
2,2,10,3
2,2,10,4
2,2,10,5
2,2,10,6
2,2,10,7
2,2,10,8
2,2,10,9
2,2,10,10
2,2,10,11
2,2,10,12
2,3,1,1
2,3,1,2
2,3,1,3
2,3,1,4
2,3,1,5
2,3,1,6
2,3,1,7
2,3,1,8
2,3,1,9
2,3,1,10
2,3,2,1
2,3,2,2
2,3,2,3
2,3,2,4
2,3,2,5
2,3,2,6
2,3,2,7
2,3,2,8
2,3,2,9
2,3,2,10
2,3,3,1
2,3,3,2
2,3,3,3
2,3,3,4
2,3,3,5
2,3,3,6
2,3,3,7
2,3,3,8
2,3,3,9
2,3,3,10
2,3,4,1
2,3,4,2
2,3,4,3
2,3,4,4
2,3,4,5
2,3,4,6
2,3,4,7
2,3,4,8
2,3,4,9
2,3,4,10
2,3,5,1
2,3,5,2
2,3,5,3
2,3,5,4
2,3,5,5
2,3,5,6
2,3,5,7
2,3,5,8
2,3,5,9
2,3,5,10
2,3,6,4
2,3,6,5
2,3,6,6
2,3,6,7
2,3,6,8
2,3,6,9
2,3,6,10
2,3,7,5
2,3,7,6
2,3,7,7
2,3,7,8
2,3,7,9
2,3,7,10
2,3,8,6
2,3,8,7
2,3,8,8
2,3,8,9
2,3,8,10
2,3,9,6
2,3,9,7
2,3,9,8
2,3,9,9
2,3,9,10
2,3,10,6
2,3,10,7
2,3,10,8
2,3,10,9
2,3,10,10
2,3,11,6
2,3,11,7
2,3,11,8
2,3,11,9
2,3,11,10
2,3,12,6
2,3,12,7
2,3,12,8
2,3,12,9
2,3,12,10
2,4,1,1
2,4,1,2
2,4,1,3
2,4,1,4
2,4,1,5
2,4,1,6
2,4,1,7
2,4,1,8
2,4,1,9
2,4,1,10
2,4,1,11
2,4,1,12
2,4,2,1
2,4,2,2
2,4,2,3
2,4,2,4
2,4,2,5
2,4,2,6
2,4,2,7
2,4,2,8
2,4,2,9
2,4,2,10
2,4,2,11
2,4,2,12
2,4,3,1
2,4,3,2
2,4,3,3
2,4,3,4
2,4,3,5
2,4,3,6
2,4,3,7
2,4,3,8
2,4,3,9
2,4,3,10
2,4,3,11
2,4,3,12
2,4,4,1
2,4,4,2
2,4,4,3
2,4,4,4
2,4,4,5
2,4,4,6
2,4,4,7
2,4,4,8
2,4,4,9
2,4,4,10
2,4,4,11
2,4,4,12
2,4,5,1
2,4,5,2
2,4,5,3
2,4,5,4
2,4,5,5
2,4,5,6
2,4,5,7
2,4,5,8
2,4,5,9
2,4,5,10
2,4,5,11
2,4,5,12
2,4,6,1
2,4,6,2
2,4,6,3
2,4,6,4
2,4,6,5
2,4,6,6
2,4,6,7
2,4,7,1
2,4,7,2
2,4,7,3
2,4,7,4
2,4,7,5
2,4,7,6
2,4,8,1
2,4,8,2
2,4,8,3
2,4,8,4
2,4,8,5
2,4,9,1
2,4,9,2
2,4,9,3
2,4,9,4
2,4,9,5
2,4,10,1
2,4,10,2
2,4,10,3
2,4,10,4
2,4,10,5
3,1,1,1
3,1,2,1
3,1,3,1
3,1,4,1
3,1,5,1
3,1,1,2
3,1,2,2
3,1,3,2
3,1,4,2
3,1,5,2
3,1,1,3
3,1,2,3
3,1,3,3
3,1,4,3
3,1,5,3
3,1,1,4
3,1,2,4
3,1,3,4
3,1,4,4
3,1,5,4
3,1,1,5
3,1,2,5
3,1,3,5
3,1,4,5
3,1,5,5
3,1,1,6
3,1,2,6
3,1,3,6
3,1,4,6
3,1,5,6
3,1,1,7
3,1,2,7
3,1,3,7
3,1,4,7
3,1,5,7
3,1,1,8
3,1,2,8
3,1,3,8
3,1,4,8
3,1,5,8
3,1,1,9
3,1,2,9
3,1,3,9
3,1,4,9
3,1,5,9
3,1,1,10
3,1,2,10
3,1,3,10
3,1,4,10
3,1,5,10
3,1,1,11
3,1,2,11
3,1,3,11
3,1,4,11
3,1,5,11
3,1,1,12
3,1,2,12
3,1,3,12
3,1,4,12
3,1,5,12
3,1,1,13
3,1,2,13
3,1,3,13
3,1,4,13
3,1,5,13
3,1,1,14
3,1,2,14
3,1,3,14
3,1,4,14
3,1,5,14
3,1,1,15
3,1,2,15
3,1,3,15
3,1,4,15
3,1,5,15
3,2,1,1
3,2,1,2
3,2,1,3
3,2,1,4
3,2,1,5
3,2,2,1
3,2,2,2
3,2,2,3
3,2,2,4
3,2,2,5
3,2,3,1
3,2,3,2
3,2,3,3
3,2,3,4
3,2,3,5
3,2,4,1
3,2,4,2
3,2,4,3
3,2,4,4
3,2,4,5
3,2,5,1
3,2,5,2
3,2,5,3
3,2,5,4
3,2,5,5
3,2,6,1
3,2,6,2
3,2,6,3
3,2,6,4
3,2,6,5
3,2,7,1
3,2,7,2
3,2,7,3
3,2,7,4
3,2,7,5
3,2,8,1
3,2,8,2
3,2,8,3
3,2,8,4
3,2,8,5
3,2,9,1
3,2,9,2
3,2,9,3
3,2,9,4
3,2,9,5
3,2,10,1
3,2,10,2
3,2,10,3
3,2,10,4
3,2,10,5
3,2,11,1
3,2,11,2
3,2,11,3
3,2,11,4
3,2,11,5
3,2,12,1
3,2,12,2
3,2,12,3
3,2,12,4
3,2,12,5
3,2,13,1
3,2,13,2
3,2,13,3
3,2,13,4
3,2,13,5
3,2,14,1
3,2,14,2
3,2,14,3
3,2,14,4
3,2,14,5
3,2,15,1
3,2,15,2
3,2,15,3
3,2,15,4
3,2,15,5
3,3,1,1
3,3,1,2
3,3,1,3
3,3,1,4
3,3,1,5
3,3,1,6
3,3,1,7
3,3,1,8
3,3,1,9
3,3,1,10
3,3,1,11
3,3,1,12
3,3,1,13
3,3,1,14
3,3,1,15
3,3,2,1
3,3,2,2
3,3,2,3
3,3,2,4
3,3,2,5
3,3,2,6
3,3,2,7
3,3,2,8
3,3,2,9
3,3,2,10
3,3,2,11
3,3,2,12
3,3,2,13
3,3,2,14
3,3,2,15
3,3,3,1
3,3,3,2
3,3,3,3
3,3,3,4
3,3,3,5
3,3,3,6
3,3,3,7
3,3,3,8
3,3,3,9
3,3,3,10
3,3,3,11
3,3,3,12
3,3,3,13
3,3,3,14
3,3,3,15
3,3,4,1
3,3,4,2
3,3,4,3
3,3,4,4
3,3,4,5
3,3,4,6
3,3,4,7
3,3,4,8
3,3,4,9
3,3,4,10
3,3,4,11
3,3,4,12
3,3,4,13
3,3,4,14
3,3,4,15
3,3,5,1
3,3,5,2
3,3,5,3
3,3,5,4
3,3,5,5
3,3,5,6
3,3,5,7
3,3,5,8
3,3,5,9
3,3,5,10
3,3,5,11
3,3,5,12
3,3,5,13
3,3,5,14
3,3,5,15
3,4,1,1
3,4,1,2
3,4,1,3
3,4,1,4
3,4,1,5
3,4,2,1
3,4,2,2
3,4,2,3
3,4,2,4
3,4,2,5
3,4,3,1
3,4,3,2
3,4,3,3
3,4,3,4
3,4,3,5
3,4,4,1
3,4,4,2
3,4,4,3
3,4,4,4
3,4,4,5
3,4,5,1
3,4,5,2
3,4,5,3
3,4,5,4
3,4,5,5
3,4,6,1
3,4,6,2
3,4,6,3
3,4,6,4
3,4,6,5
3,4,7,1
3,4,7,2
3,4,7,3
3,4,7,4
3,4,7,5
3,4,8,1
3,4,8,2
3,4,8,3
3,4,8,4
3,4,8,5
3,4,9,1
3,4,9,2
3,4,9,3
3,4,9,4
3,4,9,5
3,4,10,1
3,4,10,2
3,4,10,3
3,4,10,4
3,4,10,5
3,4,11,1
3,4,11,2
3,4,11,3
3,4,11,4
3,4,11,5
3,4,12,1
3,4,12,2
3,4,12,3
3,4,12,4
3,4,12,5
3,4,13,1
3,4,13,2
3,4,13,3
3,4,13,4
3,4,13,5
3,4,14,1
3,4,14,2
3,4,14,3
3,4,14,4
3,4,14,5
3,4,15,1
3,4,15,2
3,4,15,3
3,4,15,4
3,4,15,5
4,1,1,1
4,1,1,2
4,1,2,2
4,1,1,3
4,1,2,3
4,1,3,3
4,1,1,4
4,1,2,4
4,1,3,4
4,1,4,4
4,1,1,5
4,1,2,5
4,1,3,5
4,1,4,5
4,1,5,5
4,1,1,6
4,1,2,6
4,1,3,6
4,1,4,6
4,1,5,6
4,1,1,7
4,1,2,7
4,1,3,7
4,1,4,7
4,1,5,7
4,1,6,7
4,1,7,7
4,1,1,8
4,1,2,8
4,1,3,8
4,1,4,8
4,1,5,8
4,1,6,8
4,1,7,8
4,1,8,8
4,1,2,9
4,1,3,9
4,1,4,9
4,1,5,9
4,1,6,9
4,1,7,9
4,1,8,9
4,1,9,9
4,1,3,10
4,1,4,10
4,1,5,10
4,1,6,10
4,1,7,10
4,1,8,10
4,1,9,10
4,1,10,10
4,1,4,11
4,1,5,11
4,1,6,11
4,1,7,11
4,1,8,11
4,1,9,11
4,1,10,11
4,1,11,11
4,1,5,12
4,1,6,12
4,1,7,12
4,1,8,12
4,1,9,12
4,1,10,12
4,1,11,12
4,1,12,12
4,2,1,5
4,2,1,6
4,2,1,7
4,2,1,8
4,2,1,9
4,2,1,10
4,2,1,11
4,2,1,12
4,2,2,4
4,2,2,5
4,2,2,6
4,2,2,7
4,2,2,8
4,2,2,9
4,2,2,10
4,2,2,11
4,2,3,3
4,2,3,4
4,2,3,5
4,2,3,6
4,2,3,7
4,2,3,8
4,2,3,9
4,2,3,10
4,2,4,2
4,2,4,3
4,2,4,4
4,2,4,5
4,2,4,6
4,2,4,7
4,2,4,8
4,2,4,9
4,2,5,1
4,2,5,2
4,2,5,3
4,2,5,4
4,2,5,5
4,2,5,6
4,2,5,7
4,2,5,8
4,2,6,1
4,2,6,2
4,2,6,3
4,2,6,4
4,2,6,5
4,2,6,6
4,2,6,7
4,2,7,1
4,2,7,2
4,2,7,3
4,2,7,4
4,2,7,5
4,2,8,1
4,2,8,2
4,2,8,3
4,2,8,4
4,2,8,5
4,2,9,1
4,2,9,2
4,2,9,3
4,2,9,4
4,2,10,1
4,2,10,2
4,2,10,3
4,2,11,1
4,2,11,2
4,2,12,1
4,3,1,1
4,3,2,1
4,3,2,2
4,3,3,1
4,3,3,2
4,3,3,3
4,3,4,1
4,3,4,2
4,3,4,3
4,3,4,4
4,3,5,1
4,3,5,2
4,3,5,3
4,3,5,4
4,3,5,5
4,3,6,1
4,3,6,2
4,3,6,3
4,3,6,4
4,3,6,5
4,3,6,6
4,3,7,1
4,3,7,2
4,3,7,3
4,3,7,4
4,3,7,5
4,3,7,6
4,3,8,1
4,3,8,2
4,3,8,3
4,3,8,4
4,3,8,5
4,3,8,6
4,3,8,7
4,3,8,8
4,3,9,2
4,3,9,3
4,3,9,4
4,3,9,5
4,3,9,6
4,3,9,7
4,3,9,8
4,3,9,9
4,3,10,3
4,3,10,4
4,3,10,5
4,3,10,6
4,3,10,7
4,3,10,8
4,3,10,9
4,3,10,10
4,3,11,4
4,3,11,5
4,3,11,6
4,3,11,7
4,3,11,8
4,3,11,9
4,3,11,10
4,3,11,11
4,3,12,5
4,3,12,6
4,3,12,7
4,3,12,8
4,3,12,9
4,3,12,10
4,3,12,11
4,3,12,12
4,4,1,12
4,4,2,11
4,4,2,12
4,4,3,10
4,4,3,11
4,4,3,12
4,4,4,9
4,4,4,10
4,4,4,11
4,4,4,12
4,4,5,8
4,4,5,9
4,4,5,10
4,4,5,11
4,4,5,12
4,4,6,8
4,4,6,9
4,4,6,10
4,4,6,11
4,4,6,12
4,4,7,6
4,4,7,7
4,4,7,8
4,4,7,9
4,4,7,10
4,4,7,11
4,4,7,12
4,4,8,5
4,4,8,6
4,4,8,7
4,4,8,8
4,4,8,9
4,4,8,10
4,4,8,11
4,4,8,12
4,4,9,4
4,4,9,5
4,4,9,6
4,4,9,7
4,4,9,8
4,4,9,9
4,4,9,10
4,4,9,11
4,4,10,3
4,4,10,4
4,4,10,5
4,4,10,6
4,4,10,7
4,4,10,8
4,4,10,9
4,4,10,10
4,4,11,2
4,4,11,3
4,4,11,4
4,4,11,5
4,4,11,6
4,4,11,7
4,4,11,8
4,4,11,9
4,4,12,1
4,4,12,2
4,4,12,3
4,4,12,4
4,4,12,5
4,4,12,6
4,4,12,7
4,4,12,8
5,1,1,1
5,1,2,1
5,1,3,1
5,1,4,1
5,1,5,1
5,1,1,2
5,1,2,2
5,1,3,2
5,1,4,2
5,1,5,2
5,1,1,3
5,1,2,3
5,1,3,3
5,1,4,3
5,1,5,3
5,1,1,4
5,1,2,4
5,1,3,4
5,1,4,4
5,1,5,4
5,1,1,5
5,1,2,5
5,1,3,5
5,1,4,5
5,1,5,5
5,2,1,1
5,2,1,2
5,2,1,3
5,2,1,4
5,2,1,5
5,2,2,1
5,2,2,2
5,2,2,3
5,2,2,4
5,2,2,5
5,2,3,1
5,2,3,2
5,2,3,3
5,2,3,4
5,2,3,5
5,2,4,1
5,2,4,2
5,2,4,3
5,2,4,4
5,2,4,5
5,2,5,1
5,2,5,2
5,2,5,3
5,2,5,4
5,2,5,5
5,3,1,1
5,3,1,2
5,3,1,3
5,3,1,4
5,3,1,5
5,3,2,1
5,3,2,2
5,3,2,3
5,3,2,4
5,3,2,5
5,3,3,1
5,3,3,2
5,3,3,3
5,3,3,4
5,3,3,5
5,3,4,1
5,3,4,2
5,3,4,3
5,3,4,4
5,3,4,5
5,3,5,1
5,3,5,2
5,3,5,3
5,3,5,4
5,3,5,5
5,4,1,1
5,4,1,2
5,4,1,3
5,4,1,4
5,4,1,5
5,4,2,1
5,4,2,2
5,4,2,3
5,4,2,4
5,4,2,5
5,4,3,1
5,4,3,2
5,4,3,3
5,4,3,4
5,4,3,5
5,4,4,1
5,4,4,2
5,4,4,3
5,4,4,4
5,4,4,5
5,4,5,1
5,4,5,2
5,4,5,3
5,4,5,4
5,4,5,5
6,1,2,1
6,1,3,1
6,1,4,1
6,1,10,1
6,1,11,1
6,1,12,1
6,1,1,2
6,1,2,2
6,1,3,2
6,1,4,2
6,1,5,2
6,1,9,2
6,1,10,2
6,1,11,2
6,1,12,2
6,1,13,2
6,1,1,3
6,1,2,3
6,1,3,3
6,1,4,3
6,1,5,3
6,1,6,3
6,1,7,3
6,1,8,3
6,1,9,3
6,1,10,3
6,1,11,3
6,1,12,3
6,1,13,3
6,1,1,4
6,1,2,4
6,1,3,4
6,1,4,4
6,1,5,4
6,1,9,4
6,1,10,4
6,1,11,4
6,1,12,4
6,1,13,4
6,1,2,5
6,1,3,5
6,1,4,5
6,1,10,5
6,1,11,5
6,1,12,5
6,2,1,2
6,2,1,3
6,2,1,4
6,2,1,10
6,2,1,11
6,2,1,12
6,2,2,1
6,2,2,2
6,2,2,3
6,2,2,4
6,2,2,5
6,2,2,9
6,2,2,10
6,2,2,11
6,2,2,12
6,2,2,13
6,2,3,1
6,2,3,2
6,2,3,3
6,2,3,4
6,2,3,5
6,2,3,6
6,2,3,7
6,2,3,8
6,2,3,9
6,2,3,10
6,2,3,11
6,2,3,12
6,2,3,13
6,2,4,1
6,2,4,2
6,2,4,3
6,2,4,4
6,2,4,5
6,2,4,9
6,2,4,10
6,2,4,11
6,2,4,12
6,2,4,13
6,2,5,2
6,2,5,3
6,2,5,4
6,2,5,10
6,2,5,11
6,2,5,12
6,3,1,2
6,3,1,3
6,3,1,4
6,3,2,1
6,3,2,2
6,3,2,3
6,3,2,4
6,3,2,5
6,3,3,1
6,3,3,2
6,3,3,3
6,3,3,4
6,3,3,5
6,3,4,1
6,3,4,2
6,3,4,3
6,3,4,4
6,3,4,5
6,3,5,2
6,3,5,3
6,3,5,4
6,3,6,3
6,3,7,3
6,3,8,3
6,3,9,2
6,3,9,3
6,3,9,4
6,3,10,1
6,3,10,2
6,3,10,3
6,3,10,4
6,3,10,5
6,3,11,1
6,3,11,2
6,3,11,3
6,3,11,4
6,3,11,5
6,3,12,1
6,3,12,2
6,3,12,3
6,3,12,4
6,3,12,5
6,3,13,2
6,3,13,3
6,3,13,4
6,4,1,2
6,4,1,3
6,4,1,4
6,4,1,10
6,4,1,11
6,4,1,12
6,4,2,1
6,4,2,2
6,4,2,3
6,4,2,4
6,4,2,5
6,4,2,9
6,4,2,10
6,4,2,11
6,4,2,12
6,4,2,13
6,4,3,1
6,4,3,2
6,4,3,3
6,4,3,4
6,4,3,5
6,4,3,6
6,4,3,7
6,4,3,8
6,4,3,9
6,4,3,10
6,4,3,11
6,4,3,12
6,4,3,13
6,4,4,1
6,4,4,2
6,4,4,3
6,4,4,4
6,4,4,5
6,4,4,9
6,4,4,10
6,4,4,11
6,4,4,12
6,4,4,13
6,4,5,2
6,4,5,3
6,4,5,4
6,4,5,10
6,4,5,11
6,4,5,12
7,1,7,1
7,1,8,1
7,1,9,1
7,1,10,1
7,1,11,1
7,1,6,2
7,1,7,2
7,1,8,2
7,1,9,2
7,1,10,2
7,1,11,2
7,1,5,3
7,1,6,3
7,1,7,3
7,1,8,3
7,1,9,3
7,1,10,3
7,1,11,3
7,1,4,4
7,1,5,4
7,1,6,4
7,1,7,4
7,1,8,4
7,1,9,4
7,1,10,4
7,1,11,4
7,1,12,4
7,1,13,4
7,1,14,4
7,1,3,5
7,1,4,5
7,1,5,5
7,1,6,5
7,1,9,5
7,1,10,5
7,1,11,5
7,1,12,5
7,1,13,5
7,1,2,6
7,1,3,6
7,1,4,6
7,1,5,6
7,1,6,6
7,1,9,6
7,1,10,6
7,1,11,6
7,1,12,6
7,1,1,7
7,1,2,7
7,1,3,7
7,1,4,7
7,1,5,7
7,1,6,7
7,1,7,7
7,1,8,7
7,1,9,7
7,1,10,7
