Subject_number,Phase_number,Trial_number,Surprise,Trial_time,Group_time,Surprise_time,Allocation_time,Probabilities_score,Troop_allocation_score,Number_probability_sets,Number_groups,Max_probs_in_set,Layer_type_1,Layer_type_2,Layer_type_3,Layer_type_4,Layer_type_5,Layer_Surprise_1,Layer_Surprise_2,Layer_Surprise_3,Layer_Surprise_4,Layer_Surprise_5,Layer_Surprise_Time_1,Layer_Surprise_Time_2,Layer_Surprise_Time_3,Layer_Surprise_Time_4,Layer_Surprise_Time_5,Center_X_1,Center_X_2,Center_X_3,Center_X_4,Center_Y_1,Center_Y_2,Center_Y_3,Center_Y_4,Circle_R_1,Circle_R_2,Circle_R_3,Circle_R_4,Human_probs_1_1,Human_probs_1_2,Human_probs_1_3,Human_probs_1_4,Human_probs_2_1,Human_probs_2_2,Human_probs_2_3,Human_probs_2_4,Human_probs_3_1,Human_probs_3_2,Human_probs_3_3,Human_probs_3_4,Human_probs_4_1,Human_probs_4_2,Human_probs_4_3,Human_probs_4_4,Human_probs_5_1,Human_probs_5_2,Human_probs_5_3,Human_probs_5_4,Raw_human_probs_1_1,Raw_human_probs_1_2,Raw_human_probs_1_3,Raw_human_probs_1_4,Raw_human_probs_2_1,Raw_human_probs_2_2,Raw_human_probs_2_3,Raw_human_probs_2_4,Raw_human_probs_3_1,Raw_human_probs_3_2,Raw_human_probs_3_3,Raw_human_probs_3_4,Raw_human_probs_4_1,Raw_human_probs_4_2,Raw_human_probs_4_3,Raw_human_probs_4_4,Raw_human_probs_5_1,Raw_human_probs_5_2,Raw_human_probs_5_3,Raw_human_probs_5_4,Normative_probs_1_1,Normative_probs_1_2,Normative_probs_1_3,Normative_probs_1_4,Normative_probs_2_1,Normative_probs_2_2,Normative_probs_2_3,Normative_probs_2_4,Normative_probs_3_1,Normative_probs_3_2,Normative_probs_3_3,Normative_probs_3_4,Normative_probs_4_1,Normative_probs_4_2,Normative_probs_4_3,Normative_probs_4_4,Normative_probs_5_1,Normative_probs_5_2,Normative_probs_5_3,Normative_probs_5_4,Norm_allocation_1,Norm_allocation_2,Norm_allocation_3,Norm_allocation_4,Raw_allocation_1,Raw_allocation_2,Raw_allocation_3,Raw_allocation_4,Normative_Center_X_1,Normative_Center_X_2,Normative_Center_X_3,Normative_Center_X_4,Normative_Center_Y_1,Normative_Center_Y_2,Normative_Center_Y_3,Normative_Center_Y_4,BaseRate_1,BaseRate_2,BaseRate_3,BaseRate_4,Sigma_X_1,Sigma_X_2,Sigma_X_3,Sigma_X_4,Sigma_Y_1,Sigma_Y_2,Sigma_Y_3,Sigma_Y_4,
S002,2,1,4,139558,62775,19063,NaN,81.44784606065227,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.00974421437271,23.02070645554202,82.58221680876979,66.01705237515225,44.092570036540806,21.924482338611455,67.35688185140074,20.341047503045075,12.688542404974832,5.857936495206361,15.769566723469719,8.770638746599124,50.0,5.0,15.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,5.0,15.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.71980225377905,5.021242585616368E-4,10.804507886919467,50.475187735042915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S002,2,2,1,129310,55350,9782,NaN,11.08053023060277,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.98416565164433,23.14250913520097,77.83191230207063,64.43361753958587,47.25943970767357,25.70036540803899,69.67113276492083,22.168087697929366,25.76983182453472,5.953398007235048,19.411006381253383,14.387160107413791,35.0,0.0,25.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0,0.0,25.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.620403689890784,2.4983328018138717E-26,1.308377209804204,97.07121910030502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S002,2,3,0,83835,34601,9703,NaN,50.105237366605024,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.01583434835566,23.751522533495734,80.9987819732034,70.52375152253349,49.93909866017053,21.193666260657736,68.57490864799026,26.918392204628503,21.631895292018452,6.221482479474854,16.80921110119898,16.002573078703378,20.0,75.0,0.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0,75.0,0.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6073881407151278,99.3251340756749,0.012277647300034798,0.05520013630993408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S002,2,4,1,147171,49967,57221,NaN,51.74385766141011,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.5225334957369,24.238733252131546,77.95371498172959,70.88915956151034,51.52253349573691,24.482338611449464,76.73568818514008,21.559074299634602,18.11955592851558,7.409968903412971,15.062712510160537,14.1590048742631,30.0,0.0,55.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,0.0,55.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79678503234467,6.111381477182501E-32,86.51400070463404,0.6892142630212883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S002,2,5,0,157015,27721,100637,NaN,66.73135373720396,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.11205846528623,24.360535931790498,82.33861144945188,72.22898903775882,53.471376370280154,24.969549330085272,73.32521315468941,20.706455542021928,25.181065447665503,6.998091314116061,20.10076376049949,15.359216482919443,34.0,0.0,66.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.0,0.0,66.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.716827220258777,4.04871773508764E-43,91.27414949892571,0.009023280815518018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S003,2,1,5,156330,46567,11279,NaN,22.602591491959792,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.06580493537015,24.08930669800235,76.96827262044654,68.62514688601645,53.5840188014101,23.149236192714454,81.31609870740306,46.41598119858989,11.896860594193063,15.941836504716832,15.057643694139927,8.907447077907037,49.0,26.0,15.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,21.0,13.0,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.71980225377905,5.021242585616368E-4,10.804507886919467,50.475187735042915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S003,2,2,1,138778,26458,6271,NaN,16.84638674380649,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.54524089306698,24.324324324324326,91.50197628458498,78.37837837837839,76.73325499412456,32.19741480611046,71.54150197628458,15.3936545240893,17.869455141886665,19.21583504353744,20.297755510507077,13.077310797587137,35.0,5.0,15.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.0,4.0,15.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.620403689890784,2.4983328018138717E-26,1.308377209804204,97.07121910030502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S003,2,3,0,79981,22355,4103,NaN,80.9305347727852,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.950646298472385,28.437132784958873,81.08108108108108,79.2009400705053,64.5123384253819,19.388954171562858,81.19858989424208,11.868390129259694,15.975149197214112,19.674569051766607,17.74227431092119,18.328738247822358,10.0,90.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,90.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6073881407151278,99.3251340756749,0.012277647300034798,0.05520013630993408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S003,2,4,1,94256,39219,6646,NaN,66.13919680139601,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.71797884841363,31.72737955346651,85.54641598119859,65.4524089306698,64.74735605170387,18.448883666274966,65.21739130434783,45.35840188014101,17.582397287208547,15.802641816119255,15.200481510335104,10.719096998337212,15.0,0.0,70.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0,0.0,70.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79678503234467,6.111381477182501E-32,86.51400070463404,0.6892142630212883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S003,2,5,1,92851,29858,5257,NaN,55.99353405472045,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.83548766157462,27.027027027027028,77.67332549941246,66.86251468860165,68.62514688601645,21.974148061104586,80.0235017626322,24.911868390129257,22.679200940070505,18.484775015242032,20.960423532980386,28.240125708065076,40.0,0.0,60.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,0.0,60.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.716827220258777,4.04871773508764E-43,91.27414949892571,0.009023280815518018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S004,2,1,1,158633,62804,11722,NaN,41.63608807638519,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.94388327721661,23.232323232323232,82.94051627384961,66.32996632996633,47.02581369248036,21.99775533108867,66.77890011223344,18.51851851851852,25.721300522479744,15.253842431454098,33.269976481797244,12.358426232068036,30.0,10.0,40.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,10.0,40.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.71980225377905,5.021242585616368E-4,10.804507886919467,50.475187735042915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S004,2,2,1,122707,72255,8829,NaN,11.894963982569417,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.86195286195286,26.038159371492704,81.36924803591471,73.62514029180696,48.03591470258137,22.446689113355788,73.17620650953984,24.354657687991022,26.916612906440402,11.309434131232866,24.13332268976633,19.10904191739086,25.0,5.0,30.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,5.0,30.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.620403689890784,2.4983328018138717E-26,1.308377209804204,97.07121910030502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S004,2,3,0,103137,36627,5475,NaN,17.837989308692304,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.402918069584736,23.905723905723907,78.67564534231201,74.63524130190797,52.18855218855219,22.446689113355788,68.12570145903479,28.843995510662182,20.911895051111856,7.835470112550868,24.018219577535767,17.221526463201855,30.0,50.0,10.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,50.0,10.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6073881407151278,99.3251340756749,0.012277647300034798,0.05520013630993408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S004,2,4,1,92930,39515,5842,NaN,42.984074754582494,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.31088664421998,26.48709315375982,75.86980920314254,73.4006734006734,54.99438832772166,22.334455667789,75.42087542087542,32.32323232323232,21.153846043738227,7.071597756239443,21.235861037924174,18.654063006279088,40.0,5.0,45.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,5.0,45.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79678503234467,6.111381477182501E-32,86.51400070463404,0.6892142630212883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S004,2,5,1,92404,44655,5040,NaN,31.34368388103992,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.11672278338945,25.813692480359148,76.76767676767676,73.06397306397307,57.4635241301908,23.905723905723903,77.10437710437711,32.77216610549944,19.14723633247996,8.01899918199607,21.403656667087965,19.15512911684835,37.0,10.0,43.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.0,10.0,43.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.716827220258777,4.04871773508764E-43,91.27414949892571,0.009023280815518018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S005,2,1,6,343726,169989,39281,NaN,20.67341102111258,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.9261447562777,21.56573116691285,81.38847858197933,66.76514032496307,50.36927621861152,23.33825701624815,63.220088626292466,18.46381093057606,35.461593542822854,12.533650478934373,27.26249054405677,8.873700617947165,55.0,15.0,25.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.0,15.0,25.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.71980225377905,5.021242585616368E-4,10.804507886919467,50.475187735042915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S005,2,2,0,159195,72988,8094,NaN,35.82452789886641,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.58493353028065,26.440177252584935,79.1728212703102,68.9807976366322,50.36927621861152,20.679468242245193,71.63958641063516,29.542097488921712,28.529545529370534,8.906832160520727,20.770531719807323,19.78769296463762,25.0,5.0,10.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,5.0,10.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.620403689890784,2.4983328018138717E-26,1.308377209804204,97.07121910030502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S005,2,3,0,144208,70175,3141,NaN,47.43414786353707,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.039881831610046,25.99704579025111,76.51403249630724,74.29837518463812,53.028064992614475,22.00886262924668,68.9807976366322,30.42836041358936,22.61707560740003,10.644382998048135,25.192325678378545,19.46754738832094,15.0,70.0,10.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0,70.0,10.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6073881407151278,99.3251340756749,0.012277647300034798,0.05520013630993408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S005,2,4,1,193863,90720,8563,NaN,38.82579108161889,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.381093057607096,24.667651403249632,74.29837518463812,70.75332348596751,61.89069423929099,22.00886262924668,76.95716395864106,30.871491875923184,18.700987751263693,9.347868438580058,20.86956308298366,19.075252511105667,40.0,0.0,45.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,0.0,45.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79678503234467,6.111381477182501E-32,86.51400070463404,0.6892142630212883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S005,2,5,1,235784,103876,47985,NaN,55.99353405472045,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.49483013293944,24.667651403249632,68.09453471196456,73.8552437223043,59.23190546528803,25.110782865583445,74.74150664697194,28.212703101920226,24.372230428360414,8.025452116517654,26.771889158629044,20.209904137650902,40.0,0.0,60.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,0.0,60.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.716827220258777,4.04871773508764E-43,91.27414949892571,0.009023280815518018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S006,2,1,3,130735,57265,18575,NaN,23.939175790454634,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.318289786223275,23.39667458432304,83.3729216152019,66.6270783847981,66.9833729216152,21.971496437054626,67.10213776722091,21.140142517814724,5.0,5.0,16.299799015959866,5.0,25.0,13.0,49.0,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,13.0,49.0,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.71980225377905,5.021242585616368E-4,10.804507886919467,50.475187735042915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
S006,2,2,2,178270,69910,13905,NaN,6.808989907236549,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.2375296912114,26.009501187648457,79.09738717339667,64.96437054631829,51.30641330166271,21.258907363420434,68.88361045130641,22.68408551068883,20.969984279661038,11.358042960575041,14.518972016153313,9.251468928337497,11.0,10.0,45.0,34.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0,10.0,45.0,34.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.620403689890784,2.4983328018138717E-26,1.308377209804204,97.07121910030502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,25.0,75.0,75.0,50.0,25.0,75.0,25.0,0.2,0.4,0.6,0.8,20.0,5.0,20.0,15.0,20.0,5.0,20.0,15.0,
