Subject_number,Phase_number,Trial_number,Query_type,Layer_type,Phase_type,Presentation_order,User_choice,Trial_time,Trial_score,Specified_answer,Normalization_compensation,Number_probability_sets,Number_facilities,Max_probs_in_set,WTAnh,WTAnr,TVDnh,TVDnr,KLDnh,KLDnr,KLDSnh,KLDSnr,RMSnh,RMSnr,Probs_norm_1_1,Probs_norm_1_2,Probs_norm_1_3,Probs_norm_1_4,Probs_norm_2_1,Probs_norm_2_2,Probs_norm_2_3,Probs_norm_2_4,Probs_norm_3_1,Probs_norm_3_2,Probs_norm_3_3,Probs_norm_3_4,Probs_human_1_1,Probs_human_1_2,Probs_human_1_3,Probs_human_1_4,Probs_human_2_1,Probs_human_2_2,Probs_human_2_3,Probs_human_2_4,Probs_human_3_1,Probs_human_3_2,Probs_human_3_3,Probs_human_3_4,Probs_random_1_1,Probs_random_1_2,Probs_random_1_3,Probs_random_1_4,Probs_random_2_1,Probs_random_2_2,Probs_random_2_3,Probs_random_2_4,Probs_random_3_1,Probs_random_3_2,Probs_random_3_3,Probs_random_3_4,Raw_probs_human_1_1,Raw_probs_human_1_2,Raw_probs_human_1_3,Raw_probs_human_1_4,Raw_probs_human_2_1,Raw_probs_human_2_2,Raw_probs_human_2_3,Raw_probs_human_2_4,Raw_probs_human_3_1,Raw_probs_human_3_2,Raw_probs_human_3_3,Raw_probs_human_3_4
3,2,1,Identify,Simultaneous,2,0,0,195141,43.2073,A,0,1,2,4,0,0,0.24996,0.49996,0.41449,0.99939,1.6394,3.6753,0.24996,0.49996,0.99996,3.7507e-005,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0
3,2,2,Identify,Simultaneous,2,0,0,13594,0.66506,B,0.01,1,2,4,1,0,0.82986,0.49986,2.554,0.99796,6.2445,3.1896,0.82986,0.49986,0.00014395,0.99986,0,0,0,0,0,0,0,0,0,0,0.83,0.17,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.83,0.18,0,0,0,0,0,0,0,0,0,0
3,4,1,Identify,Simultaneous,2,0,0,13829,74.3763,B,0.05,1,2,4,0,0,0.19774,0.49774,0.30331,0.97686,0.67079,2.1862,0.19774,0.49774,0.0022624,0.99774,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.85,0,0,0,0,0,0,0,0,0,0
3,4,2,Identify,Simultaneous,2,0,0,12468,0.21764,A,0.16,1,2,4,1,0,0.91463,0.49463,3.5767,0.95176,5.0561,1.8629,0.91463,0.49463,0.99463,0.0053722,0,0,0,0,0,0,0,0,0,0,0.08,0.92,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.06,0.78,0,0,0,0,0,0,0,0,0,0
3,6,1,Identify,Simultaneous,2,0,0,12359,100,A,0.29,1,2,4,0,0,2.0549e-005,0.49998,6.6463e-005,0.99964,8.8548e-005,3.883,2.0556e-005,0.49998,0.99998,2.1098e-005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0
3,6,2,Identify,Simultaneous,2,0,0,7391,45.3046,B,0.25,1,2,4,0,0,0.24,0.5,0.39593,1,2.9123,6.483,0.24,0.5,1.5622e-008,1,0,0,0,0,0,0,0,0,0,0,0.24,0.76,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.29,0.96,0,0,0,0,0,0,0,0,0,0
3,8,1,Identify,Simultaneous,2,0,0,20188,44.7625,A,0.16,1,3,4,0,0,0.18944,0.53545,1.2939,0.97121,1.0231,1.3297,0.13562,0.38128,0.86878,0.010558,0.12066,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.67,0.17,0,0,0,0,0,0,0,0,0,0
3,8,2,Identify,Simultaneous,2,0,0,14031,2.1281,B,0.29,1,3,4,1,0,0.71999,0.6414,1.9558,1.4148,6.8736,3.7312,0.57784,0.45365,5.1976e-006,0.97473,0.02526,0,0,0,0,0,0,0,0,0,0.72,0.28,0,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.51,0.2,0,0,0,0,0,0,0,0,0,0
3,8,3,Identify,Simultaneous,2,0,0,10219,0.032154,C,0.33,1,3,4,1,0,0.98079,0.64746,12.9287,1.4468,11.4222,3.031,0.7163,0.45789,0.00013454,0.019071,0.98079,0,0,0,0,0,0,0,0,0,0.71,0.29,0,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.47,0.2,0,0,0,0,0,0,0,0,0,0
3,10,1,Identify,Simultaneous,2,0,0,13859,54.6817,B,0.11,1,3,4,0,0,0.19999,0.66543,0.32425,1.5711,1.5171,4.4634,0.16279,0.47053,6.8474e-006,0.99876,0.0012325,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.17,0.72,0,0,0,0,0,0,0,0,0,0
