site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_1_measured,RR_1_magnitude,RR_1_exhibited,RR_2_measured,RR_2_magnitude,RR_2_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,117,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.03999999999999998,1,1,0.01999999999999999,1,0,NaN,NaN
PSU,117,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.020000000000000018,1,1,0.22999999999999998,1,0,NaN,NaN
PSU,117,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,-6.938893903907228E-18,0,0,NaN,NaN
PSU,117,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.020000000000000018,1,1,0.020000000000000018,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.395,1,1,0.395,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.22999999999999998,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.33,1,1,0.33,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.24,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.24,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.2700000000000001,1,1,0.33,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.21,1,0,NaN,NaN
PSU,118,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.16550000000000004,1,1,0.2645,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.04999999999999999,1,1,0.04999999999999999,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.14,1,1,0.14,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.05,1,1,0.05,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.09,1,1,0.18999999999999995,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.09,1,1,0.09,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.09999999999999998,1,1,0.24,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.19999999999999996,1,1,0.07999999999999999,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.17000000000000004,1,1,0.06000000000000001,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.14,1,1,0.04999999999999999,1,0,NaN,NaN
PSU,119,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.17000000000000004,1,1,0.17000000000000004,1,0,NaN,NaN
PSU,120,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,-0.09000000000000001,0,1,0.88,1,0,NaN,NaN
PSU,120,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.32,1,1,0.18,1,0,NaN,NaN
